age,educ,paeduc,sex,race,yearsjob,realrinc,PASEI10
63,19,16,"female","white",20,"IAP",26.5
38,12,"iap","female","white",7,20430,"IAP, DK, NA, uncodeable"
50,12,12,"male","white",20,20430,39.9
18,11,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
45,16,12,"female","white",15,24970,31.9
18,11,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
39,20,20,"male","black",.i,"IAP",82.5
31,20,20,"female","white",6,30645,77.4
44,16,12,"female","black",9,37455,74.8
46,16,12,"female","black",12,30645,46
56,13,14,"female","white",.i,14755,46.5
37,12,12,"male","white",.75,37455,46
52,20,12,"female","white",4,54480,76.3
69,14,7,"male","white",4,2043,28.7
34,12,8,"male","other",2,24970,14
25,17,20,"male","white",1,"IAP",92.8
33,8,"dk","male","other",7,"IAP","IAP, DK, NA, uncodeable"
45,12,12,"female","white",.75,10782.5,23.8
57,16,12,"male","white",.i,151050.7214,45.1
77,14,14,"male","white",.i,"IAP",57.4
29,16,16,"male","other",3,45400,86.5
58,18,"iap","male","white",36,151050.7214,"IAP, DK, NA, uncodeable"
42,20,18,"male","white",15,54480,92
65,13,12,"male","white",45,24970,52.5
25,16,12,"female","black",1,14755,62.9
76,19,17,"male","white",.i,"IAP",46.5
73,12,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
34,20,20,"female","white",11,37455,84.5
51,12,"iap","male","black",13,30645,"IAP, DK, NA, uncodeable"
78,14,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
53,12,"iap","male","black",2,4086,"IAP, DK, NA, uncodeable"
83,11,"dk","male","black",.i,"IAP",39.9
58,7,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
73,12,"dk","male","black",.i,"IAP",14
83,10,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
86,12,"iap","male","black",.i,"IAP","IAP, DK, NA, uncodeable"
70,14,"na","female","other",.i,"IAP",29.4
31,17,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
24,16,"iap","female","black",.i,2043,"IAP, DK, NA, uncodeable"
42,14,20,"male","white",21,8512.5,91.9
34,16,18,"female","white",5,54480,50
70,19,14,"female","white",.i,"IAP",43
37,12,"iap","female","white",.i,17025,"IAP, DK, NA, uncodeable"
70,18,14,"male","white",.i,30645,61.2
71,12,5,"male","white",.i,"IAP",14
26,16,16,"female","white",1,17025,54.6
54,16,16,"male","white",.75,151050.7214,82.7
40,16,16,"female","white",.75,63560,62.6
56,16,15,"female","white",12,151050.7214,55.3
60,20,14,"male","white",2,63560,46.5
72,16,15,"male","white",.n,1589,78.3
35,16,14,"female","black",.75,63560,69.3
55,18,"iap","male","white",2,151050.7214,"IAP, DK, NA, uncodeable"
28,14,16,"female","black",.i,12485,70.1
77,13,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
30,12,"iap","female","black",3,17025,"IAP, DK, NA, uncodeable"
67,12,5,"female","white",.i,"IAP",19
53,12,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
37,15,"iap","female","black",.i,227,"IAP, DK, NA, uncodeable"
51,14,14,"female","black",25,151050.7214,32
35,12,"iap","female","black",.i,5107.5,"IAP, DK, NA, uncodeable"
60,20,16,"female","white",.i,"IAP",86.1
68,16,17,"male","other",.i,54480,92.8
43,20,13,"male","white",10,54480,78.3
36,12,12,"female","other",.i,"IAP",32
34,9,"iap","female","black",.75,4086,"IAP, DK, NA, uncodeable"
39,18,10,"male","black",8,45400,39.1
52,14,12,"male","white",25,37455,43.5
70,12,12,"male","white",22,24970,63.7
60,12,12,"male","white",.i,"IAP",73.5
61,13,12,"female","white",.i,"IAP",68.6
32,14,12,"female","white",.75,"IAP",28.7
40,16,"iap","female","white",5,14755,"IAP, DK, NA, uncodeable"
44,17,14,"male","white",4,37455,59.8
67,6,5,"female","black",.i,"IAP",38.3
70,16,14,"female","white",24,63560,50
27,16,16,"female","white",.25,37455,73.9
30,18,16,"female","white",3,45400,77.4
61,16,9,"male","white",.n,151050.7214,25.2
30,16,18,"male","white",2,151050.7214,77.4
38,16,16,"male","white",1,45400,83.8
27,16,"iap","female","white",10,37455,"IAP, DK, NA, uncodeable"
67,15,8,"female","white",.i,"IAP",18.6
45,16,14,"male","white",1,14755,50.4
68,14,12,"female","white",.i,24970,21
18,14,"iap","female","white",1,2497,"IAP, DK, NA, uncodeable"
77,14,"dk","female","white",.i,"IAP",23.3
78,16,15,"female","white",.i,"IAP",77.4
61,16,16,"female","white",.n,"IAP",62.6
72,12,12,"male","white",7,227,31.6
"89 OR OLDER",12,"dk","female","white",.i,"IAP",31.6
75,19,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
48,15,12,"male","other",1,17025,80.9
48,16,14,"female","white",4,45400,52
41,16,16,"female","white",1,24970,46.2
